c_custkey|c_name|c_address|c_nationkey|c_phone|c_acctbal|c_mktsegment|c_comment|o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
13|Customer#000000013|nsXQu0oVjD7PM659uC3SRSp|3|13-761-547-5974|3857.34|BUILDING|ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely|78080|13|F|99694.10|1995-02-28|2-HIGH|Clerk#000000035|0| final requests. packages cajole quickly. slyly |78080|18327|132|1|43.00|53548.76|0.01|0.00|A|F|1995-05-18|1995-04-11|1995-05-29|COLLECT COD|FOB|hs. slyly ruthless requests doze s
13|Customer#000000013|nsXQu0oVjD7PM659uC3SRSp|3|13-761-547-5974|3857.34|BUILDING|ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely|78080|13|F|99694.10|1995-02-28|2-HIGH|Clerk#000000035|0| final requests. packages cajole quickly. slyly |78080|10600|601|2|5.00|7553.00|0.09|0.03|R|F|1995-06-04|1995-05-04|1995-06-07|NONE|FOB|s, ironic foxes. express, even accounts hag
13|Customer#000000013|nsXQu0oVjD7PM659uC3SRSp|3|13-761-547-5974|3857.34|BUILDING|ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely|78080|13|F|99694.10|1995-02-28|2-HIGH|Clerk#000000035|0| final requests. packages cajole quickly. slyly |78080|91|842|3|14.00|13875.26|0.09|0.03|R|F|1995-05-05|1995-04-14|1995-06-01|TAKE BACK RETURN|MAIL|blithely final packages ought to u
13|Customer#000000013|nsXQu0oVjD7PM659uC3SRSp|3|13-761-547-5974|3857.34|BUILDING|ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely|78080|13|F|99694.10|1995-02-28|2-HIGH|Clerk#000000035|0| final requests. packages cajole quickly. slyly |78080|18051|320|4|29.00|28102.45|0.09|0.04|R|F|1995-04-25|1995-05-02|1995-05-10|DELIVER IN PERSON|REG AIR|oxes. final 
47|Customer#000000047|b0UgocSqEW5 gdVbhNT|2|12-427-271-9466|274.58|BUILDING|ions. express, ironic instructions sleep furiously ironic ideas. furi|412485|47|F|165269.93|1995-01-12|3-MEDIUM|Clerk#000000269|0|s doubt: fluffily special instructions could ha|412485|8460|235|1|11.00|15053.06|0.08|0.05|R|F|1995-04-22|1995-02-12|1995-05-12|TAKE BACK RETURN|AIR| ironic pint
47|Customer#000000047|b0UgocSqEW5 gdVbhNT|2|12-427-271-9466|274.58|BUILDING|ions. express, ironic instructions sleep furiously ironic ideas. furi|412485|47|F|165269.93|1995-01-12|3-MEDIUM|Clerk#000000269|0|s doubt: fluffily special instructions could ha|412485|13040|41|2|24.00|22872.96|0.09|0.00|R|F|1995-04-23|1995-02-19|1995-04-28|COLLECT COD|AIR|thely about the carefully careful cour
64|Customer#000000064|MbCeGY20kaKK3oalJD,OT|3|13-558-731-7204|-646.64|BUILDING|structions after the quietly ironic theodolites cajole be|455493|64|P|209958.90|1995-03-12|2-HIGH|Clerk#000000835|0|final excuses thrash slyly. even deposits |455493|11371|633|1|22.00|28212.14|0.09|0.04|R|F|1995-04-02|1995-05-21|1995-04-20|TAKE BACK RETURN|RAIL|deas snooze furiously r
64|Customer#000000064|MbCeGY20kaKK3oalJD,OT|3|13-558-731-7204|-646.64|BUILDING|structions after the quietly ironic theodolites cajole be|455493|64|P|209958.90|1995-03-12|2-HIGH|Clerk#000000835|0|final excuses thrash slyly. even deposits |455493|602|353|2|44.00|66114.40|0.10|0.01|N|O|1995-07-01|1995-04-22|1995-07-29|NONE|TRUCK|deposits det
64|Customer#000000064|MbCeGY20kaKK3oalJD,OT|3|13-558-731-7204|-646.64|BUILDING|structions after the quietly ironic theodolites cajole be|455493|64|P|209958.90|1995-03-12|2-HIGH|Clerk#000000835|0|final excuses thrash slyly. even deposits |455493|17090|892|3|45.00|45319.05|0.09|0.05|A|F|1995-05-28|1995-05-26|1995-06-11|COLLECT COD|FOB|ests. slyly pending instr
64|Customer#000000064|MbCeGY20kaKK3oalJD,OT|3|13-558-731-7204|-646.64|BUILDING|structions after the quietly ironic theodolites cajole be|455493|64|P|209958.90|1995-03-12|2-HIGH|Clerk#000000835|0|final excuses thrash slyly. even deposits |455493|14831|624|4|45.00|78562.35|0.05|0.07|R|F|1995-05-07|1995-05-10|1995-06-04|COLLECT COD|MAIL| packages sleep furiously. furiously unusua
64|Customer#000000064|MbCeGY20kaKK3oalJD,OT|3|13-558-731-7204|-646.64|BUILDING|structions after the quietly ironic theodolites cajole be|579109|64|P|70973.62|1995-03-03|1-URGENT|Clerk#000000568|0| slyly close requests are furiously regular theodolites|579109|996|247|1|14.00|26557.86|0.02|0.08|A|F|1995-05-06|1995-05-16|1995-05-24|DELIVER IN PERSON|FOB| haggle. forges cajole. quickly 
64|Customer#000000064|MbCeGY20kaKK3oalJD,OT|3|13-558-731-7204|-646.64|BUILDING|structions after the quietly ironic theodolites cajole be|579109|64|P|70973.62|1995-03-03|1-URGENT|Clerk#000000568|0| slyly close requests are furiously regular theodolites|579109|10708|229|2|26.00|42086.20|0.03|0.05|N|O|1995-06-27|1995-05-30|1995-07-15|DELIVER IN PERSON|TRUCK|hely regular accounts. b
